location,online_order,name
BTM,No,1763
BTM,Yes,3320
Banashankari,No,397
Banashankari,Yes,507
Banaswadi,No,310
Banaswadi,Yes,338
Bannerghatta Road,No,691
Bannerghatta Road,Yes,924
Basavanagudi,No,243
Basavanagudi,Yes,441
Bellandur,No,523
Bellandur,Yes,760
Brigade Road,No,552
Brigade Road,Yes,658
Brookefield,No,239
Brookefield,Yes,417
Church Street,No,226
Church Street,Yes,340
Commercial Street,No,228
Commercial Street,Yes,142
Cunningham Road,No,168
Cunningham Road,Yes,322
Domlur,No,247
Domlur,Yes,235
Ejipura,No,214
Ejipura,Yes,219
Electronic City,No,680
Electronic City,Yes,575
Frazer Town,No,287
Frazer Town,Yes,427
HSR,No,587
HSR,Yes,1919
Indiranagar,No,699
Indiranagar,Yes,1332
JP Nagar,No,912
JP Nagar,Yes,1317
Jayanagar,No,554
Jayanagar,Yes,1364
Kalyan Nagar,No,352
Kalyan Nagar,Yes,498
Kammanahalli,No,264
Kammanahalli,Yes,380
Koramangala 1st Block,No,384
Koramangala 1st Block,Yes,852
Koramangala 4th Block,No,459
Koramangala 4th Block,Yes,558
Koramangala 5th Block,No,866
Koramangala 5th Block,Yes,1613
Koramangala 6th Block,No,445
Koramangala 6th Block,Yes,697
Koramangala 7th Block,No,389
Koramangala 7th Block,Yes,785
Koramangala 8th Block,No,90
Koramangala 8th Block,Yes,212
Lavelle Road,No,315
Lavelle Road,Yes,203
MG Road,No,520
MG Road,Yes,373
Malleshwaram,No,309
Malleshwaram,Yes,412
Marathahalli,No,717
Marathahalli,Yes,1109
New BEL Road,No,255
New BEL Road,Yes,392
Old Airport Road,No,227
Old Airport Road,Yes,216
Rajajinagar,No,286
Rajajinagar,Yes,305
Residency Road,No,424
Residency Road,Yes,247
Richmond Road,No,557
Richmond Road,Yes,246
Sarjapur Road,No,325
Sarjapur Road,Yes,728
Shanti Nagar,No,289
Shanti Nagar,Yes,219
Shivajinagar,No,354
Shivajinagar,Yes,144
St. Marks Road,No,185
St. Marks Road,Yes,167
Ulsoor,No,389
Ulsoor,Yes,622
Whitefield,No,994
Whitefield,Yes,1135
others,No,1989
others,Yes,2691
